Vgs (V) , Vout (V)
0 , 0
0.5 , 0
1.0 , 0.01
1.2 , 0.03
1.3 , 0.05
1.4 , 0.08
1.5 , 0.11
1.7 , 0.17
1.8 , 0.21
1.9 , 0.24
2.0 , 0.28
2.5 , 0.48
3.0 , 0.70
3.5 , 0.93
4.0 , 1.17
4.5 , 1.42
5.0 , 1.67
